photos_count,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,professional_management,min_nights,cancellation_policy,cleaning_fee,extra_guest_fee,num_reviews,ttm_revenue,ttm_avg_rate,ttm_blocked_days,ttm_total_days,distance_from_city_center,city_population,luxury_score,basic_count,comfort_count,kitchen_count,safety_count,outdoor_count,family_count,services_count,has_pool,has_hot_tub,has_gym,has_beach_access,has_dedicated_workspace,has_pets_allowed,has_free_parking_on_premises,has_air_conditioning,total_amenities,comfort_to_total_ratio,rarity_score,avg_rating,listing_type_apartment,listing_type_bungalow,listing_type_condo,listing_type_home,listing_type_hospitality,listing_type_loft,listing_type_luxury_unique,listing_type_nature_stay,listing_type_other,listing_type_unique_stay,listing_type_villa,room_type_entire_home,room_type_hotel_room,room_type_private_room,room_type_shared_room,geographic_zone_Africa,geographic_zone_Asia Pacific,geographic_zone_Europe,geographic_zone_Latin America,geographic_zone_Middle East,geographic_zone_Northern America
33.0,0,5.6067,-0.253,8.0,4.0,4.0,3.5,0,0,2.0,4,0.0,0.0,4.174387269895637,7.573017256052546,4.59511985013459,48,365,1.1877109004156783,37116,2,4,2,5,1,3,0,1,0,0,0,0,1,0,1,1,27,0.07,0.0009605657594183639,4.855714285714286,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
38.0,0,5.6055,-0.0781,4.0,2.0,2.0,1.0,0,0,2.0,8,0.0,0.0,4.59511985013459,8.033334015880062,3.56953269648137,0,365,0.4096741871660111,70483,0,4,2,3,2,0,0,0,0,0,0,0,0,1,1,1,24,0.08,0.0013331052995563739,4.662857142857143,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False
20.0,0,5.5556,-0.1787,4.0,2.0,2.0,2.5,0,0,1.0,4,33.0,0.0,5.056245805348308,9.21054035197885,4.279440045898781,0,365,0.6272279036996908,44000,0,4,2,6,3,2,0,2,0,0,0,0,0,0,1,1,41,0.05,0.0020014123424168854,4.811428571428572,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
29.0,0,5.556,-0.1796,2.0,1.0,1.0,1.0,0,0,1.0,4,33.0,0.0,5.313205979041787,8.67060073804555,4.174387269895637,0,365,0.5686679264338198,44000,2,4,2,6,3,3,0,0,0,0,0,0,1,1,1,1,41,0.05,0.0017687277477300197,4.801428571428572,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
11.0,0,5.5559,-0.1976,4.0,2.0,1.0,0.0,0,0,1.0,5,15.0,15.0,4.477336814478207,7.861341795599989,3.6375861597263857,0,365,0.07567456691515162,1963264,0,3,2,1,0,1,0,3,0,0,0,0,0,1,1,1,26,0.07,0.0013008442106578618,4.741428571428571,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
47.0,0,5.5762,-0.2029,4.0,2.0,2.0,2.5,0,0,1.0,5,0.0,0.0,4.02535169073515,8.282988692742602,4.564348191467836,16,365,1.20600125522582,1963264,0,4,2,4,4,3,2,2,0,0,0,0,1,1,1,1,49,0.04,0.002660308869003441,4.884285714285714,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
45.0,0,5.5763,-0.203,4.0,2.0,2.0,2.5,0,0,1.0,5,0.0,0.0,4.343805421853684,7.493873886783559,4.542230386214217,47,365,1.2101287083041181,1963264,0,4,2,5,4,3,2,2,0,0,0,0,1,0,1,1,49,0.04,0.0027928067807546815,4.901428571428572,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
45.0,0,5.5783,-0.2022,4.0,2.0,2.0,1.0,0,0,1.0,5,0.0,0.0,3.970291913552122,8.105911197986508,4.535820107853298,18,365,1.2657954703190455,1963264,0,4,2,4,4,2,2,2,0,0,0,0,1,0,1,1,45,0.04,0.0024198027473843076,4.94,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
41.0,0,5.5771,-0.2023,4.0,2.0,2.0,1.0,0,0,1.0,5,0.0,0.0,3.4965075614664802,6.982862751468942,4.551769409260976,0,365,1.2293405243343074,1963264,0,4,2,5,4,2,2,2,0,0,0,0,1,0,1,1,49,0.04,0.004093811195697518,4.844285714285713,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
26.0,0,5.5555,-0.1793,2.0,1.0,1.0,1.5,0,0,1.0,4,6.0,0.0,4.997212273764115,7.585281078639126,4.1666652238017265,19,365,0.5935029930527538,44000,0,4,2,5,4,0,0,0,0,0,0,0,0,0,1,1,27,0.07,0.0010351043428028514,4.82,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
10.0,1,5.6269,-0.1645,2.0,1.0,1.0,1.0,0,0,1.0,4,0.0,10.0,4.07753744390572,8.892886141190731,3.770459441106359,87,365,1.6730465090309241,101207,7,4,2,5,3,2,0,2,1,0,1,0,1,0,1,1,34,0.06,0.001865605967295787,4.952857142857143,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
7.0,0,5.5607,-0.2153,2.0,1.0,1.0,1.0,0,0,2.0,7,5.0,0.0,3.295836866004329,6.643789733147672,3.4719664525503626,0,365,1.1319851593694334,1963264,0,4,2,3,1,0,0,2,0,0,0,0,0,0,0,1,20,0.1,0.0006442662513542484,4.640000000000001,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
10.0,1,5.6251,-0.1719,2.0,1.0,1.0,1.0,0,0,2.0,4,30.0,10.0,3.6375861597263857,9.276034475171546,4.389498649512583,81,365,1.7280933563560996,101207,7,4,2,3,2,2,0,0,1,0,1,0,1,1,1,1,28,0.07,0.0012818403232491321,4.848571428571428,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
23.0,1,5.6171,-0.1747,7.0,4.0,4.0,3.5,0,0,2.0,5,40.0,0.0,4.820281565605037,10.111070665732282,5.02256386496153,0,365,1.8819069541247053,101207,3,4,2,6,4,3,0,2,1,0,0,0,1,0,1,1,53,0.04,0.003782207943427458,4.965714285714285,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
18.0,1,5.6283,-0.1743,4.0,2.0,2.0,2.0,0,0,2.0,5,30.0,0.0,3.4965075614664802,9.322239464473592,4.350277936359301,16,365,1.6772901907607816,101207,5,4,2,4,2,1,0,0,1,0,1,0,0,0,1,1,35,0.06,0.0020006246272566493,4.784285714285715,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
46.0,0,5.5969,-0.1213,4.0,5.0,2.0,0.0,0,0,1.0,8,11.0,105.0,1.3862943611198906,7.902857191280582,5.575191240283214,0,365,1.145636288647947,144013,10,4,1,3,4,4,0,3,0,0,1,1,1,1,1,0,37,0.03,0.0025989757305087072,4.867142857142857,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
